software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,markers,onTarget,file
4.1,cluster,0001 CLA-EPd-CTX Car3 Glut_1,50,0.5555555555555556,0.7368421052631579,0.28,195,5,36,14,1,['ENSMUSG00000020140'],0.0,cluster_001_CLA-EPd-CTX_Car3_Glut_results.csv
4.1,cluster,0002 CLA-EPd-CTX Car3 Glut_1,50,0.4347826086956521,0.5454545454545454,0.24,190,10,38,12,1,['ENSMUSG00000112210'],0.0,cluster_001_CLA-EPd-CTX_Car3_Glut_results.csv
4.1,cluster,0003 CLA-EPd-CTX Car3 Glut_1,50,0.4268292682926829,0.875,0.14,199,1,43,7,1,['ENSMUSG00000046318'],0.0,cluster_001_CLA-EPd-CTX_Car3_Glut_results.csv
4.1,cluster,0004 CLA-EPd-CTX Car3 Glut_1,50,0.6578947368421052,0.9375,0.3,199,1,35,15,1,['ENSMUSG00000030351'],0.0,cluster_001_CLA-EPd-CTX_Car3_Glut_results.csv
4.1,cluster,0005 CLA-EPd-CTX Car3 Glut_2,50,0.5172413793103449,0.5806451612903226,0.36,187,13,32,18,1,['ENSMUSG00000037868'],0.0,cluster_001_CLA-EPd-CTX_Car3_Glut_results.csv
4.1,cluster,0006 IT EP-CLA Glut_1,50,0.0862068965517241,0.5,0.02,799,1,49,1,2,"['ENSMUSG00000087247', 'ENSMUSG00000070366']",0.0,cluster_002_IT_EP-CLA_Glut_results.csv
4.1,cluster,0007 IT EP-CLA Glut_1,50,0.3205128205128205,0.7142857142857143,0.1,798,2,45,5,2,"['ENSMUSG00000007279', 'ENSMUSG00000031283']",0.2630139291286468,cluster_002_IT_EP-CLA_Glut_results.csv
4.1,cluster,0008 IT EP-CLA Glut_1,50,0.0925925925925925,1.0,0.02,800,0,49,1,4,"['ENSMUSG00000023232', 'ENSMUSG00000032515', 'ENSMUSG00000005148', 'ENSMUSG00000053846']",0.2097035497426986,cluster_002_IT_EP-CLA_Glut_results.csv
4.1,cluster,0009 IT EP-CLA Glut_1,50,0.0,0.0,0.0,800,0,50,0,3,"['ENSMUSG00000047496', 'ENSMUSG00000036192', 'ENSMUSG00000025013']",0.0,cluster_002_IT_EP-CLA_Glut_results.csv
4.1,cluster,0010 IT EP-CLA Glut_1,50,0.4716981132075473,0.7142857142857143,0.2,796,4,40,10,1,['ENSMUSG00000057722'],0.0,cluster_002_IT_EP-CLA_Glut_results.csv
4.1,cluster,0011 IT EP-CLA Glut_1,50,0.2272727272727272,0.75,0.06,799,1,47,3,2,"['ENSMUSG00000025255', 'ENSMUSG00000015568']",0.0,cluster_002_IT_EP-CLA_Glut_results.csv
4.1,cluster,0012 IT EP-CLA Glut_1,50,0.3658536585365853,0.75,0.12,798,2,44,6,2,"['ENSMUSG00000030560', 'ENSMUSG00000030559']",0.5,cluster_002_IT_EP-CLA_Glut_results.csv
4.1,cluster,0013 IT EP-CLA Glut_2,50,0.0925925925925925,1.0,0.02,800,0,49,1,2,"['ENSMUSG00000027996', 'ENSMUSG00000051397']",0.0,cluster_002_IT_EP-CLA_Glut_results.csv
