software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,markers,onTarget
4.1,subclass,001 CLA-EPd-CTX Car3 Glut,250,0.6558441558441558,0.7769230769230769,0.404,249433,29,149,101,2,"['ENSMUSG00000027559', 'ENSMUSG00000070570']",0.22052821516990662
4.1,subclass,002 IT EP-CLA Glut,850,0.44516129032258067,0.7885714285714286,0.1623529411764706,248825,37,712,138,3,"['ENSMUSG00000038331', 'ENSMUSG00000031557', 'ENSMUSG00000043659']",0.044716011732816696
4.1,subclass,003 L5/6 IT TPE-ENT Glut,500,0.13966480446927373,0.37037037037037035,0.04,249178,34,480,20,3,"['ENSMUSG00000070570', 'ENSMUSG00000086596', 'ENSMUSG00000068037']",0.0
4.1,subclass,004 L6 IT CTX Glut,1100,0.07653061224489795,0.9473684210526315,0.016363636363636365,248611,1,1082,18,6,"['ENSMUSG00000016918', 'ENSMUSG00000033910', 'ENSMUSG00000029798', 'ENSMUSG00000070570', 'ENSMUSG00000019990', 'ENSMUSG00000061132']",0.005704832728952169
4.1,subclass,005 L5 IT CTX Glut,550,0.16224188790560473,0.6875,0.04,249152,10,528,22,4,"['ENSMUSG00000076498', 'ENSMUSG00000030047', 'ENSMUSG00000070570', 'ENSMUSG00000047996']",0.012103444896638393
4.1,subclass,006 L4/5 IT CTX Glut,1850,0.15165876777251186,0.9846153846153847,0.034594594594594595,247861,1,1786,64,4,"['ENSMUSG00000038331', 'ENSMUSG00000004415', 'ENSMUSG00000029798', 'ENSMUSG00000036192']",0.010739888995885849
4.1,subclass,007 L2/3 IT CTX Glut,900,0.2989130434782608,0.7938144329896907,0.08555555555555555,248792,20,823,77,4,"['ENSMUSG00000062372', 'ENSMUSG00000070570', 'ENSMUSG00000046318', 'ENSMUSG00000031216']",0.039258889853954315
4.1,subclass,008 L2/3 IT ENT Glut,850,0.5299089726918076,0.9476744186046512,0.19176470588235295,248853,9,687,163,3,"['ENSMUSG00000005087', 'ENSMUSG00000070570', 'ENSMUSG00000052353']",0.05564599111676216
4.1,subclass,009 L2/3 IT PIR-ENTl Glut,1400,0.003561253561253561,1.0,0.0007142857142857143,248312,0,1399,1,4,"['ENSMUSG00000070695', 'ENSMUSG00000051985', 'ENSMUSG00000000861', 'ENSMUSG00000055639']",0.0019158237846568227
4.1,subclass,010 IT AON-TT-DP Glut,1000,0.3068862275449102,0.9761904761904762,0.082,248710,2,918,82,3,"['ENSMUSG00000049630', 'ENSMUSG00000039405', 'ENSMUSG00000035258']",0.025009289383888245
4.1,subclass,011 L2 IT ENT-po Glut,300,0.44313524590163933,0.4188861985472155,0.5766666666666667,249172,240,127,173,2,"['ENSMUSG00000027296', 'ENSMUSG00000027985']",0.02763015776872635
4.1,subclass,012 MEA Slc17a7 Glut,1131,0.5748619681714843,0.7268993839835729,0.3129973474801061,248448,133,777,354,3,"['ENSMUSG00000070570', 'ENSMUSG00000030905', 'ENSMUSG00000041703']",0.022186217829585075
4.1,subclass,013 COAp Grxcr2 Glut,300,0.4942528735632184,0.4777777777777778,0.5733333333333334,249224,188,128,172,2,"['ENSMUSG00000005892', 'ENSMUSG00000070570']",0.13079828023910522
4.1,subclass,014 LA-BLA-BMA-PA Glut,1550,0.0,0.0,0.0,248162,0,1550,0,4,"['ENSMUSG00000049630', 'ENSMUSG00000003657', 'ENSMUSG00000003746', 'ENSMUSG00000037362']",0.01374521479010582
4.1,subclass,015 ENTmv-PA-COAp Glut,450,0.5434782608695652,0.7142857142857143,0.2777777777777778,249212,50,325,125,3,"['ENSMUSG00000053025', 'ENSMUSG00000019929', 'ENSMUSG00000041828']",0.2667069137096405
4.1,subclass,016 CA1-ProS Glut,1750,0.25465013286093885,0.905511811023622,0.06571428571428571,247950,12,1635,115,2,"['ENSMUSG00000026841', 'ENSMUSG00000050074']",0.2774692177772522
4.1,subclass,017 CA3 Glut,1074,0.5606523955147807,0.990990990990991,0.2048417132216015,248636,2,854,220,3,"['ENSMUSG00000027217', 'ENSMUSG00000070570', 'ENSMUSG00000022528']",0.06321258842945099
4.1,subclass,018 L2 IT PPP-APr Glut,550,0.5515370705244124,0.8776978417266187,0.22181818181818183,249145,17,428,122,3,"['ENSMUSG00000038331', 'ENSMUSG00000053626', 'ENSMUSG00000069372']",0.04532540217041969
4.1,subclass,019 L2/3 IT PPP Glut,650,0.593480934809348,0.7909836065573771,0.2969230769230769,249011,51,457,193,3,"['ENSMUSG00000038331', 'ENSMUSG00000027210', 'ENSMUSG00000033502']",0.007938379421830177
4.1,subclass,020 L2/3 IT RSP Glut,250,0.34435261707988984,0.42016806722689076,0.2,249393,69,200,50,4,"['ENSMUSG00000038331', 'ENSMUSG00000035131', 'ENSMUSG00000001985', 'ENSMUSG00000021508']",0.02419028803706169
4.1,subclass,021 L4 RSP-ACA Glut,100,0.6868131868131868,0.7575757575757576,0.5,249596,16,50,50,2,"['ENSMUSG00000031654', 'ENSMUSG00000074695']",0.18147012591362
4.1,subclass,022 L5 ET CTX Glut,1700,0.666740872662511,0.8581661891117478,0.3523529411764706,247913,99,1101,599,3,"['ENSMUSG00000070570', 'ENSMUSG00000021743', 'ENSMUSG00000072568']",0.08439438790082932
4.1,subclass,023 SUB-ProS Glut,750,0.43177892918825556,0.9803921568627451,0.13333333333333333,248960,2,650,100,3,"['ENSMUSG00000090125', 'ENSMUSG00000030559', 'ENSMUSG00000021730']",0.004468128085136414
4.1,subclass,024 L5 PPP Glut,50,0.38135593220338987,0.35526315789473684,0.54,249613,49,23,27,1,['ENSMUSG00000056078'],1.0
4.1,subclass,025 CA2-FC-IG Glut,150,0.2718446601941747,0.2545454545454545,0.37333333333333335,249398,164,94,56,2,"['ENSMUSG00000070570', 'ENSMUSG00000031303']",0.5123370289802551
4.1,subclass,026 NLOT Rho Glut,50,0.753968253968254,1.0,0.38,249662,0,31,19,2,"['ENSMUSG00000070570', 'ENSMUSG00000019913']",0.05216909199953079
