software_version,cluster_header,clusterName,clusterSize,f_score,precision,recall,TN,FP,FN,TP,marker_count,markers,onTarget
4.1,supertype,0001 CLA-EPd-CTX Car3 Glut_1,200,0.5186170212765957,0.8863636363636364,0.195,249507,5,161,39,3,"['ENSMUSG00000027559', 'ENSMUSG00000041014', 'ENSMUSG00000117254']",0.4387671947479248
4.1,supertype,0002 CLA-EPd-CTX Car3 Glut_2,50,0.06993006993006994,0.06779661016949153,0.08,249607,55,46,4,2,"['ENSMUSG00000055799', 'ENSMUSG00000041431']",0.12929940223693848
4.1,supertype,0003 IT EP-CLA Glut_1,350,0.2112676056338028,0.9473684210526315,0.05142857142857143,249361,1,332,18,5,"['ENSMUSG00000038331', 'ENSMUSG00000048332', 'ENSMUSG00000068696', 'ENSMUSG00000048387', 'ENSMUSG00000022665']",0.0
4.1,supertype,0004 IT EP-CLA Glut_2,250,0.09124087591240877,0.8333333333333334,0.02,249461,1,245,5,4,"['ENSMUSG00000036885', 'ENSMUSG00000062991', 'ENSMUSG00000048387', 'ENSMUSG00000021998']",0.0005472342600114644
4.1,supertype,0005 IT EP-CLA Glut_3,150,0.5298013245033112,0.8421052631578947,0.21333333333333335,249556,6,118,32,3,"['ENSMUSG00000027318', 'ENSMUSG00000043659', 'ENSMUSG00000041828']",0.0321313850581646
4.1,supertype,0006 IT EP-CLA Glut_4,100,0.2551020408163266,0.4166666666666667,0.1,249598,14,90,10,4,"['ENSMUSG00000006403', 'ENSMUSG00000061086', 'ENSMUSG00000051920', 'ENSMUSG00000061132']",0.006685320287942886
4.1,supertype,0007 L5/6 IT TPE-ENT Glut_1,150,0.0,0.0,0.0,249559,3,150,0,4,"['ENSMUSG00000037035', 'ENSMUSG00000063415', 'ENSMUSG00000086596', 'ENSMUSG00000031119']",0.0
4.1,supertype,0008 L5/6 IT TPE-ENT Glut_2,150,0.21897810218978106,0.3870967741935484,0.08,249543,19,138,12,3,"['ENSMUSG00000053475', 'ENSMUSG00000037279', 'ENSMUSG00000004151']",0.006392969284206629
4.1,supertype,0009 L5/6 IT TPE-ENT Glut_3,50,0.14285714285714285,0.4,0.04,249659,3,48,2,3,"['ENSMUSG00000015568', 'ENSMUSG00000100000', 'ENSMUSG00000023886']",0.0
4.1,supertype,0010 L5/6 IT TPE-ENT Glut_4,50,0.09259259259259259,1.0,0.02,249662,0,49,1,4,"['ENSMUSG00000026841', 'ENSMUSG00000032327', 'ENSMUSG00000086596', 'ENSMUSG00000019929']",0.0
4.1,supertype,0011 L5/6 IT TPE-ENT Glut_5,50,0.24509803921568626,0.38461538461538464,0.1,249654,8,45,5,3,"['ENSMUSG00000009376', 'ENSMUSG00000086596', 'ENSMUSG00000038760']",0.056772906333208084
4.1,supertype,0012 L5/6 IT TPE-ENT Glut_6,50,0.038461538461538464,0.05,0.02,249643,19,49,1,3,"['ENSMUSG00000044080', 'ENSMUSG00000030209', 'ENSMUSG00000048387']",0.0
4.1,supertype,0013 L6 IT CTX Glut_1,250,0.0,0.0,0.0,249462,0,250,0,6,"['ENSMUSG00000038331', 'ENSMUSG00000016494', 'ENSMUSG00000049744', 'ENSMUSG00000039137', 'ENSMUSG00000033491', 'ENSMUSG00000048387']",0.004830253776162863
4.1,supertype,0014 L6 IT CTX Glut_2,300,0.0,0.0,0.0,249412,0,300,0,6,"['ENSMUSG00000016918', 'ENSMUSG00000038331', 'ENSMUSG00000055214', 'ENSMUSG00000074736', 'ENSMUSG00000031557', 'ENSMUSG00000023046']",0.006757329683750868
4.1,supertype,0015 L6 IT CTX Glut_3,250,0.24539877300613497,0.8421052631578947,0.064,249459,3,234,16,5,"['ENSMUSG00000052430', 'ENSMUSG00000090125', 'ENSMUSG00000030792', 'ENSMUSG00000021765', 'ENSMUSG00000059003']",0.001204245607368648
4.1,supertype,0016 L6 IT CTX Glut_4,200,0.024509803921568627,1.0,0.005,249512,0,199,1,7,"['ENSMUSG00000032487', 'ENSMUSG00000047369', 'ENSMUSG00000049630', 'ENSMUSG00000067578', 'ENSMUSG00000029822', 'ENSMUSG00000020651', 'ENSMUSG00000091387']",0.0
4.1,supertype,0017 L6 IT CTX Glut_5,100,0.3488372093023256,0.6666666666666666,0.12,249606,6,88,12,4,"['ENSMUSG00000026676', 'ENSMUSG00000030047', 'ENSMUSG00000046314', 'ENSMUSG00000041431']",0.053154148161411285
4.1,supertype,0018 L5 IT CTX Glut_1,150,0.02873563218390805,0.16666666666666666,0.006666666666666667,249557,5,149,1,3,"['ENSMUSG00000076498', 'ENSMUSG00000112117', 'ENSMUSG00000057606']",0.04596938192844391
