cell_set_accession	cell_label	Add_to_CL
CS20230722_CLAS_01	01 IT-ET Glut
CS20230722_CLAS_02	02 NP-CT-L6b Glut	
CS20230722_CLAS_03	03 OB-CR Glut	
CS20230722_CLAS_04	04 DG-IMN Glut	
CS20230722_CLAS_05	05 OB-IMN GABA	
CS20230722_CLAS_06	06 CTX-CGE GABA	
CS20230722_CLAS_07	07 CTX-MGE GABA	
CS20230722_CLAS_08	08 CNU-MGE GABA	
CS20230722_CLAS_09	09 CNU-LGE GABA	
CS20230722_CLAS_10	10 LSX GABA	
CS20230722_CLAS_11	11 CNU-HYa GABA	
CS20230722_CLAS_12	12 HY GABA	
CS20230722_CLAS_13	13 CNU-HYa Glut	
CS20230722_CLAS_14	14 HY Glut	
CS20230722_CLAS_15	15 HY Gnrh1 Glut	
CS20230722_CLAS_16	16 HY MM Glut	
CS20230722_CLAS_17	17 MH-LH Glut	
CS20230722_CLAS_18	18 TH Glut	
CS20230722_CLAS_19	19 MB Glut	
CS20230722_CLAS_20	20 MB GABA	
CS20230722_CLAS_21	21 MB Dopa	
CS20230722_CLAS_22	22 MB-HB Sero	
CS20230722_CLAS_23	23 P Glut	
CS20230722_CLAS_24	24 MY Glut	
CS20230722_CLAS_25	25 Pineal Glut	
CS20230722_CLAS_26	26 P GABA	
CS20230722_CLAS_27	27 MY GABA	
CS20230722_CLAS_28	28 CB GABA	
CS20230722_CLAS_29	29 CB Glut	
CS20230722_CLAS_30	30 Astro-Epen	
CS20230722_CLAS_31	31 OPC-Oligo	TRUE
CS20230722_CLAS_32	32 OEC	
CS20230722_CLAS_33	33 Vascular	
CS20230722_CLAS_34	34 Immune	
CS20230722_SUBC_001	001 CLA-EPd-CTX Car3 Glut	
CS20230722_SUBC_002	002 IT EP-CLA Glut	
CS20230722_SUBC_003	003 L5/6 IT TPE-ENT Glut	
CS20230722_SUBC_004	004 L6 IT CTX Glut	
CS20230722_SUBC_005	005 L5 IT CTX Glut	
CS20230722_SUBC_006	006 L4/5 IT CTX Glut	
CS20230722_SUBC_007	007 L2/3 IT CTX Glut	
CS20230722_SUBC_008	008 L2/3 IT ENT Glut	
CS20230722_SUBC_009	009 L2/3 IT PIR-ENTl Glut	
CS20230722_SUBC_010	010 IT AON-TT-DP Glut	
CS20230722_SUBC_011	011 L2 IT ENT-po Glut	
CS20230722_SUBC_012	012 MEA Slc17a7 Glut	
CS20230722_SUBC_013	013 COAp Grxcr2 Glut	
CS20230722_SUBC_014	014 LA-BLA-BMA-PA Glut	
CS20230722_SUBC_015	015 ENTmv-PA-COAp Glut	
CS20230722_SUBC_016	016 CA1-ProS Glut	
CS20230722_SUBC_017	017 CA3 Glut	
CS20230722_SUBC_018	018 L2 IT PPP-APr Glut	
CS20230722_SUBC_019	019 L2/3 IT PPP Glut	
CS20230722_SUBC_020	020 L2/3 IT RSP Glut	
CS20230722_SUBC_021	021 L4 RSP-ACA Glut	
CS20230722_SUBC_022	022 L5 ET CTX Glut	
