cluster_label	neurotransmitter_label
CS20230722_CLUS_0001	CS20230722_NEUR_Glut
CS20230722_CLUS_0002	CS20230722_NEUR_Glut
CS20230722_CLUS_0003	CS20230722_NEUR_Glut
CS20230722_CLUS_0004	CS20230722_NEUR_Glut
CS20230722_CLUS_0005	CS20230722_NEUR_Glut
CS20230722_CLUS_0006	CS20230722_NEUR_Glut
CS20230722_CLUS_0007	CS20230722_NEUR_Glut
CS20230722_CLUS_0008	CS20230722_NEUR_Glut
CS20230722_CLUS_0009	CS20230722_NEUR_Glut
CS20230722_CLUS_0010	CS20230722_NEUR_Glut
CS20230722_CLUS_0011	CS20230722_NEUR_Glut
CS20230722_CLUS_0012	CS20230722_NEUR_Glut
CS20230722_CLUS_0013	CS20230722_NEUR_Glut
CS20230722_CLUS_0014	CS20230722_NEUR_Glut
CS20230722_CLUS_0015	CS20230722_NEUR_Glut
CS20230722_CLUS_0016	CS20230722_NEUR_Glut
CS20230722_CLUS_0017	CS20230722_NEUR_Glut
CS20230722_CLUS_0018	CS20230722_NEUR_Glut
CS20230722_CLUS_0019	CS20230722_NEUR_Glut
CS20230722_CLUS_0020	CS20230722_NEUR_Glut
CS20230722_CLUS_0021	CS20230722_NEUR_Glut
CS20230722_CLUS_0022	CS20230722_NEUR_Glut
CS20230722_CLUS_0023	CS20230722_NEUR_Glut
CS20230722_CLUS_0024	CS20230722_NEUR_Glut
CS20230722_CLUS_0025	CS20230722_NEUR_Glut
CS20230722_CLUS_0026	CS20230722_NEUR_Glut
CS20230722_CLUS_0027	CS20230722_NEUR_Glut
CS20230722_CLUS_0028	CS20230722_NEUR_Glut
CS20230722_CLUS_0029	CS20230722_NEUR_Glut
CS20230722_CLUS_0030	CS20230722_NEUR_Glut
CS20230722_CLUS_0031	CS20230722_NEUR_Glut
CS20230722_CLUS_0032	CS20230722_NEUR_Glut
CS20230722_CLUS_0033	CS20230722_NEUR_Glut
CS20230722_CLUS_0034	CS20230722_NEUR_Glut
CS20230722_CLUS_0035	CS20230722_NEUR_Glut
CS20230722_CLUS_0036	CS20230722_NEUR_Glut
CS20230722_CLUS_0037	CS20230722_NEUR_Glut
CS20230722_CLUS_0038	CS20230722_NEUR_Glut
CS20230722_CLUS_0039	CS20230722_NEUR_Glut
CS20230722_CLUS_0040	CS20230722_NEUR_Glut
CS20230722_CLUS_0041	CS20230722_NEUR_Glut
CS20230722_CLUS_0042	CS20230722_NEUR_Glut
CS20230722_CLUS_0043	CS20230722_NEUR_Glut
CS20230722_CLUS_0044	CS20230722_NEUR_Glut
CS20230722_CLUS_0045	CS20230722_NEUR_Glut
CS20230722_CLUS_0046	CS20230722_NEUR_Glut
CS20230722_CLUS_0047	CS20230722_NEUR_Glut
CS20230722_CLUS_0048	CS20230722_NEUR_Glut
CS20230722_CLUS_0049	CS20230722_NEUR_Glut
CS20230722_CLUS_0050	CS20230722_NEUR_Glut
CS20230722_CLUS_0051	CS20230722_NEUR_Glut
CS20230722_CLUS_0052	CS20230722_NEUR_Glut
CS20230722_CLUS_0053	CS20230722_NEUR_Glut
CS20230722_CLUS_0054	CS20230722_NEUR_Glut
CS20230722_CLUS_0055	CS20230722_NEUR_Glut
CS20230722_CLUS_0056	CS20230722_NEUR_Glut
CS20230722_CLUS_0057	CS20230722_NEUR_Glut
CS20230722_CLUS_0058	CS20230722_NEUR_Glut
CS20230722_CLUS_0059	CS20230722_NEUR_Glut
CS20230722_CLUS_0060	CS20230722_NEUR_Glut
CS20230722_CLUS_0061	CS20230722_NEUR_Glut
CS20230722_CLUS_0062	CS20230722_NEUR_Glut
CS20230722_CLUS_0063	CS20230722_NEUR_Glut
CS20230722_CLUS_0064	CS20230722_NEUR_Glut
CS20230722_CLUS_0065	CS20230722_NEUR_Glut
CS20230722_CLUS_0066	CS20230722_NEUR_Glut
