defined_class	cell_set_accession	Taxonomy_label	Exclude_from_ontology	defined_class_name	defined_class_definition	Curated_synonyms	Classification	Classification_comment	Classification_pub	Expresses	Expresses_comment	Expresses_pub	Projection_type	Layers	Cross_species_text	Comment
http://purl.obolibrary.org/obo/PCL_0110001	CS20230722_CLAS_01	01 IT-ET Glut														
http://purl.obolibrary.org/obo/PCL_0110002	CS20230722_CLAS_02	02 NP-CT-L6b Glut														
http://purl.obolibrary.org/obo/PCL_0110003	CS20230722_CLAS_03	03 OB-CR Glut														
http://purl.obolibrary.org/obo/PCL_0110004	CS20230722_CLAS_04	04 DG-IMN Glut														
http://purl.obolibrary.org/obo/PCL_0110005	CS20230722_CLAS_05	05 OB-IMN GABA														
http://purl.obolibrary.org/obo/PCL_0110006	CS20230722_CLAS_06	06 CTX-CGE GABA														
http://purl.obolibrary.org/obo/PCL_0110007	CS20230722_CLAS_07	07 CTX-MGE GABA														
http://purl.obolibrary.org/obo/PCL_0110008	CS20230722_CLAS_08	08 CNU-MGE GABA														
http://purl.obolibrary.org/obo/PCL_0110009	CS20230722_CLAS_09	09 CNU-LGE GABA														
http://purl.obolibrary.org/obo/PCL_0110010	CS20230722_CLAS_10	10 LSX GABA														
http://purl.obolibrary.org/obo/PCL_0110011	CS20230722_CLAS_11	11 CNU-HYa GABA														
http://purl.obolibrary.org/obo/PCL_0110012	CS20230722_CLAS_12	12 HY GABA														
http://purl.obolibrary.org/obo/PCL_0110013	CS20230722_CLAS_13	13 CNU-HYa Glut														
http://purl.obolibrary.org/obo/PCL_0110014	CS20230722_CLAS_14	14 HY Glut														
http://purl.obolibrary.org/obo/PCL_0114944	CS20230722_CLUS_2564	15 HY Gnrh1 Glut														
http://purl.obolibrary.org/obo/PCL_0110016	CS20230722_CLAS_16	16 HY MM Glut														
http://purl.obolibrary.org/obo/PCL_0110017	CS20230722_CLAS_17	17 MH-LH Glut														
http://purl.obolibrary.org/obo/PCL_0110018	CS20230722_CLAS_18	18 TH Glut														
http://purl.obolibrary.org/obo/PCL_0110019	CS20230722_CLAS_19	19 MB Glut														
http://purl.obolibrary.org/obo/PCL_0110020	CS20230722_CLAS_20	20 MB GABA														
http://purl.obolibrary.org/obo/PCL_0110275	CS20230722_SUBC_215	21 MB Dopa														
http://purl.obolibrary.org/obo/PCL_0110276	CS20230722_SUBC_216	22 MB-HB Sero														
http://purl.obolibrary.org/obo/PCL_0110023	CS20230722_CLAS_23	23 P Glut														
http://purl.obolibrary.org/obo/PCL_0110024	CS20230722_CLAS_24	24 MY Glut														
http://purl.obolibrary.org/obo/PCL_0116986	CS20230722_CLUS_4606	25 Pineal Glut		pinealocyte (Mmus)												
http://purl.obolibrary.org/obo/PCL_0110026	CS20230722_CLAS_26	26 P GABA														
http://purl.obolibrary.org/obo/PCL_0110027	CS20230722_CLAS_27	27 MY GABA														
http://purl.obolibrary.org/obo/PCL_0110028	CS20230722_CLAS_28	28 CB GABA														
http://purl.obolibrary.org/obo/PCL_0110029	CS20230722_CLAS_29	29 CB Glut														
http://purl.obolibrary.org/obo/PCL_0110030	CS20230722_CLAS_30	30 Astro-Epen														
http://purl.obolibrary.org/obo/CL_4300031	CS20230722_CLAS_31	31 OPC-Oligo														
http://purl.obolibrary.org/obo/PCL_0111755	CS20230722_SUPT_1185	32 OEC														
http://purl.obolibrary.org/obo/PCL_0110033	CS20230722_CLAS_33	33 Vascular	TRUE													
http://purl.obolibrary.org/obo/PCL_0110034	CS20230722_CLAS_34	34 Immune	TRUE													
http://purl.obolibrary.org/obo/PCL_0110061	CS20230722_SUBC_001	001 CLA-EPd-CTX Car3 Glut														
http://purl.obolibrary.org/obo/PCL_0110062	CS20230722_SUBC_002	002 IT EP-CLA Glut														
http://purl.obolibrary.org/obo/PCL_0110063	CS20230722_SUBC_003	003 L5/6 IT TPE-ENT Glut														
http://purl.obolibrary.org/obo/PCL_0110064	CS20230722_SUBC_004	004 L6 IT CTX Glut														
http://purl.obolibrary.org/obo/PCL_0110065	CS20230722_SUBC_005	005 L5 IT CTX Glut														
http://purl.obolibrary.org/obo/PCL_0110066	CS20230722_SUBC_006	006 L4/5 IT CTX Glut														
http://purl.obolibrary.org/obo/PCL_0110067	CS20230722_SUBC_007	007 L2/3 IT CTX Glut														
http://purl.obolibrary.org/obo/PCL_0110068	CS20230722_SUBC_008	008 L2/3 IT ENT Glut														
http://purl.obolibrary.org/obo/PCL_0110069	CS20230722_SUBC_009	009 L2/3 IT PIR-ENTl Glut														
http://purl.obolibrary.org/obo/PCL_0110070	CS20230722_SUBC_010	010 IT AON-TT-DP Glut														
http://purl.obolibrary.org/obo/PCL_0110071	CS20230722_SUBC_011	011 L2 IT ENT-po Glut														
http://purl.obolibrary.org/obo/PCL_0110072	CS20230722_SUBC_012	012 MEA Slc17a7 Glut														
http://purl.obolibrary.org/obo/PCL_0110073	CS20230722_SUBC_013	013 COAp Grxcr2 Glut														
http://purl.obolibrary.org/obo/PCL_0110074	CS20230722_SUBC_014	014 LA-BLA-BMA-PA Glut														
http://purl.obolibrary.org/obo/PCL_0110075	CS20230722_SUBC_015	015 ENTmv-PA-COAp Glut														
http://purl.obolibrary.org/obo/PCL_0110076	CS20230722_SUBC_016	016 CA1-ProS Glut														
http://purl.obolibrary.org/obo/PCL_0110077	CS20230722_SUBC_017	017 CA3 Glut														
http://purl.obolibrary.org/obo/PCL_0110078	CS20230722_SUBC_018	018 L2 IT PPP-APr Glut														
http://purl.obolibrary.org/obo/PCL_0110079	CS20230722_SUBC_019	019 L2/3 IT PPP Glut														
http://purl.obolibrary.org/obo/PCL_0110080	CS20230722_SUBC_020	020 L2/3 IT RSP Glut														
http://purl.obolibrary.org/obo/PCL_0110659	CS20230722_SUPT_0089	021 L4 RSP-ACA Glut														
http://purl.obolibrary.org/obo/PCL_0110082	CS20230722_SUBC_022	022 L5 ET CTX Glut														
http://purl.obolibrary.org/obo/PCL_0110083	CS20230722_SUBC_023	023 SUB-ProS Glut														
http://purl.obolibrary.org/obo/PCL_0112778	CS20230722_CLUS_0398	024 L5 PPP Glut														
http://purl.obolibrary.org/obo/PCL_0110085	CS20230722_SUBC_025	025 CA2-FC-IG Glut														
http://purl.obolibrary.org/obo/PCL_0112782	CS20230722_CLUS_0402	026 NLOT Rho Glut														
http://purl.obolibrary.org/obo/PCL_0110087	CS20230722_SUBC_027	027 L6b EPd Glut														
http://purl.obolibrary.org/obo/PCL_0110088	CS20230722_SUBC_028	028 L6b/CT ENT Glut														
http://purl.obolibrary.org/obo/PCL_0110089	CS20230722_SUBC_029	029 L6b CTX Glut														
http://purl.obolibrary.org/obo/PCL_0110090	CS20230722_SUBC_030	030 L6 CT CTX Glut														
http://purl.obolibrary.org/obo/PCL_0110091	CS20230722_SUBC_031	031 CT SUB Glut														
http://purl.obolibrary.org/obo/PCL_0110092	CS20230722_SUBC_032	032 L5 NP CTX Glut														
http://purl.obolibrary.org/obo/PCL_0110093	CS20230722_SUBC_033	033 NP SUB Glut														
http://purl.obolibrary.org/obo/PCL_0110699	CS20230722_SUPT_0129	034 NP PPP Glut														
http://purl.obolibrary.org/obo/PCL_0110095	CS20230722_SUBC_035	035 OB Eomes Ms4a15 Glut														
http://purl.obolibrary.org/obo/PCL_0110705	CS20230722_SUPT_0135	036 HPF CR Glut														
http://purl.obolibrary.org/obo/PCL_0110097	CS20230722_SUBC_037	037 DG Glut														
http://purl.obolibrary.org/obo/PCL_0110098	CS20230722_SUBC_038	038 DG-PIR Ex IMN														
http://purl.obolibrary.org/obo/PCL_0110099	CS20230722_SUBC_039	039 OB Meis2 Thsd7b Gaba														
http://purl.obolibrary.org/obo/PCL_0110100	CS20230722_SUBC_040	040 OB Trdn Gaba														
http://purl.obolibrary.org/obo/PCL_0110101	CS20230722_SUBC_041	041 OB-in Frmd7 Gaba														
http://purl.obolibrary.org/obo/PCL_0110102	CS20230722_SUBC_042	042 OB-out Frmd7 Gaba														
http://purl.obolibrary.org/obo/PCL_0110731	CS20230722_SUPT_0161	043 OB-mi Frmd7 Gaba														
http://purl.obolibrary.org/obo/PCL_0110104	CS20230722_SUBC_044	044 OB Dopa-Gaba														
http://purl.obolibrary.org/obo/PCL_0110105	CS20230722_SUBC_045	045 OB-STR-CTX Inh IMN														
http://purl.obolibrary.org/obo/PCL_0110106	CS20230722_SUBC_046	046 Vip Gaba														
http://purl.obolibrary.org/obo/PCL_0110107	CS20230722_SUBC_047	047 Sncg Gaba														
http://purl.obolibrary.org/obo/PCL_0110108	CS20230722_SUBC_048	048 RHP-COA Ndnf Gaba														
http://purl.obolibrary.org/obo/PCL_0110109	CS20230722_SUBC_049	049 Lamp5 Gaba														
http://purl.obolibrary.org/obo/PCL_0110773	CS20230722_SUPT_0203	050 Lamp5 Lhx6 Gaba														
http://purl.obolibrary.org/obo/PCL_0110774	CS20230722_SUPT_0204	051 Pvalb chandelier Gaba														
http://purl.obolibrary.org/obo/PCL_0110112	CS20230722_SUBC_052	052 Pvalb Gaba														
http://purl.obolibrary.org/obo/PCL_0110113	CS20230722_SUBC_053	053 Sst Gaba														
http://purl.obolibrary.org/obo/PCL_0110114	CS20230722_SUBC_054	054 STR Prox1 Lhx6 Gaba														
http://purl.obolibrary.org/obo/PCL_0110115	CS20230722_SUBC_055	055 STR Lhx8 Gaba														
http://purl.obolibrary.org/obo/PCL_0110116	CS20230722_SUBC_056	056 Sst Chodl Gaba														
http://purl.obolibrary.org/obo/PCL_0110117	CS20230722_SUBC_057	057 NDB-SI-MA-STRv Lhx8 Gaba														
http://purl.obolibrary.org/obo/PCL_0110118	CS20230722_SUBC_058	058 PAL-STR Gaba-Chol														
http://purl.obolibrary.org/obo/PCL_0110119	CS20230722_SUBC_059	059 GPe-SI Sox6 Cyp26b1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110120	CS20230722_SUBC_060	060 OT D3 Folh1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110121	CS20230722_SUBC_061	061 STR D1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110122	CS20230722_SUBC_062	062 STR D2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110123	CS20230722_SUBC_063	063 STR D1 Sema5a Gaba														
http://purl.obolibrary.org/obo/PCL_0110124	CS20230722_SUBC_064	064 STR-PAL Chst9 Gaba														
http://purl.obolibrary.org/obo/PCL_0110125	CS20230722_SUBC_065	065 IA Mgp Gaba														
http://purl.obolibrary.org/obo/PCL_0110126	CS20230722_SUBC_066	066 NDB-SI-ant Prdm12 Gaba														
http://purl.obolibrary.org/obo/PCL_0110127	CS20230722_SUBC_067	067 LSX Sall3 Pax6 Gaba														
http://purl.obolibrary.org/obo/PCL_0110128	CS20230722_SUBC_068	068 LSX Otx2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110129	CS20230722_SUBC_069	069 LSX Nkx2-1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110130	CS20230722_SUBC_070	070 LSX Prdm12 Slit2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110131	CS20230722_SUBC_071	071 LSX Prdm12 Zeb2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110132	CS20230722_SUBC_072	072 LSX Sall3 Lmo1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110133	CS20230722_SUBC_073	073 MEA-BST Sox6 Gaba														
http://purl.obolibrary.org/obo/PCL_0110134	CS20230722_SUBC_074	074 MEA-BST Lhx6 Sp9 Gaba														
http://purl.obolibrary.org/obo/PCL_0110135	CS20230722_SUBC_075	075 MEA-BST Lhx6 Nr2e1 Gaba														
http://purl.obolibrary.org/obo/PCL_0110136	CS20230722_SUBC_076	076 MEA-BST Lhx6 Nfib Gaba														
http://purl.obolibrary.org/obo/PCL_0110933	CS20230722_SUPT_0363	077 CEA-BST Gal Avp Gaba														
http://purl.obolibrary.org/obo/PCL_0110138	CS20230722_SUBC_078	078 SI-MA-ACB Ebf1 Bnc2 Gaba														
http://purl.obolibrary.org/obo/PCL_0110139	CS20230722_SUBC_079	079 CEA-BST Six3 Cyp26b1 Gaba														
