defined_class	Marker_set_of	Markers	Markers_label	Species_abbv	Brain_region	Parent	FBeta_confidence_score	precision	recall	Algorithm	Source	Reference	Cell_label	Labelset	Atlas_url	Atlas_url_label
http://purl.obolibrary.org/obo/PCL_0130861	IT-ET Glut	ensembl:ENSMUSG00000067879|ensembl:ENSMUSG00000049630	Vxn, C1ql3	Mouse	MBA:997	SO:0001260	0.7506463072144625	0.9577598481252966	0.4024931438544004	NSforest	NSforest	https://doi.org/10.1101/2020.09.23.308932	01 IT-ET Glut	class	https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDEgSVQtRVQgR2x1dAAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEBAoGsxo6BlhUgA4RqTf2EWBhNAAUCAVZ4bgAAAUMxcWwzAAAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAhHNEk0R0ZKWEpCOUFUWjNQVFgxAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAFLOUpOMjNQMjRLUUNHSzlVNzVBAAJTWTNTTE1OUElEM0M2OE1HUzhWAAMEAUZTMDBEWFYwVDlSMVg5Rko0UUUAAgEwMSBJVC1FVCBHbHV0AAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQAChFC%2FH4OCCX8DhKAah4TEPdkEMk5RVElFN1RBTVA4UFFBSE80UAAFga%2BmSoHprA6BoIFHgJLV6AYABwAABQIBVnhuAAABQzFxbDMAAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACDZNVDdVQzZFVFlFQ0JXRjUwUEsACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAgMA	markers in reference data on Allen Brain Cell Atlas
http://purl.obolibrary.org/obo/PCL_0130862	NP-CT-L6b Glut	ensembl:ENSMUSG00000021743|ensembl:ENSMUSG00000046719	Fezf2, Nxph3	Mouse	MBA:997	SO:0001260	0.7316956604855669	0.9702154626109	0.3689156626506024	NSforest	NSforest	https://doi.org/10.1101/2020.09.23.308932	02 NP-CT-L6b Glut	class	https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDIgTlAtQ1QtTDZiIEdsdXQAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAQKBrMaOgZYVIAOEak39hFgYTQAFAgFGZXpmMgAAAU54cGgzAAAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAhHNEk0R0ZKWEpCOUFUWjNQVFgxAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAFLOUpOMjNQMjRLUUNHSzlVNzVBAAJTWTNTTE1OUElEM0M2OE1HUzhWAAMEAUZTMDBEWFYwVDlSMVg5Rko0UUUAAgEwMiBOUC1DVC1MNmIgR2x1dAAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEAAoRQvx%2BDggl%2FA4SgGoeExD3ZBDJOUVRJRTdUQU1QOFBRQUhPNFAABYGvpkqB6awOgaCBR4CS1egGAAcAAAUCAUZlemYyAAABTnhwaDMAAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACDZNVDdVQzZFVFlFQ0JXRjUwUEsACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAgMA	markers in reference data on Allen Brain Cell Atlas
http://purl.obolibrary.org/obo/PCL_0130863	OB-CR Glut	ensembl:ENSMUSG00000021803	Cdhr1	Mouse	MBA:997	SO:0001260	0.7523510971786833	0.8767123287671232	0.48	NSforest	NSforest	https://doi.org/10.1101/2020.09.23.308932	03 OB-CR Glut	class	https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDMgT0ItQ1IgR2x1dAAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEBAoGsxo6BlhUgA4RqTf2EWBhNAAUBAUNkaHIxAAAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAhHNEk0R0ZKWEpCOUFUWjNQVFgxAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAFLOUpOMjNQMjRLUUNHSzlVNzVBAAJTWTNTTE1OUElEM0M2OE1HUzhWAAMEAUZTMDBEWFYwVDlSMVg5Rko0UUUAAgEwMyBPQi1DUiBHbHV0AAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQAChFC%2FH4OCCX8DhKAah4TEPdkEMk5RVElFN1RBTVA4UFFBSE80UAAFga%2BmSoHprA6BoIFHgJLV6AYABwAABQEBQ2RocjEAAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACDZNVDdVQzZFVFlFQ0JXRjUwUEsACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAgMA	markers in reference data on Allen Brain Cell Atlas
http://purl.obolibrary.org/obo/PCL_0130864	DG-IMN Glut	ensembl:ENSMUSG00000045136|ensembl:ENSMUSG00000034701	Tubb2b, Neurod1	Mouse	MBA:997	SO:0001260	0.452724358974359	0.9912280701754386	0.1426767676767676	NSforest	NSforest	https://doi.org/10.1101/2020.09.23.308932	04 DG-IMN Glut	class	https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDQgREctSU1OIEdsdXQAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAQKBrMaOgZYVIAOEak39hFgYTQAFAgFUdWJiMmIAAAFOZXVyb2QxAAAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAhHNEk0R0ZKWEpCOUFUWjNQVFgxAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAFLOUpOMjNQMjRLUUNHSzlVNzVBAAJTWTNTTE1OUElEM0M2OE1HUzhWAAMEAUZTMDBEWFYwVDlSMVg5Rko0UUUAAgEwNCBERy1JTU4gR2x1dAAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEAAoRQvx%2BDggl%2FA4SgGoeExD3ZBDJOUVRJRTdUQU1QOFBRQUhPNFAABYGvpkqB6awOgaCBR4CS1egGAAcAAAUCAVR1YmIyYgAAAU5ldXJvZDEAAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACDZNVDdVQzZFVFlFQ0JXRjUwUEsACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAgMA	markers in reference data on Allen Brain Cell Atlas
http://purl.obolibrary.org/obo/PCL_0130865	OB-IMN GABA	ensembl:ENSMUSG00000027210	Meis2	Mouse	MBA:997	SO:0001260	0.6859328105334496	0.7287220365132425	0.55546844374755	NSforest	NSforest	https://doi.org/10.1101/2020.09.23.308932	05 OB-IMN GABA	class	https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDUgT0ItSU1OIEdBQkEAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAQKBrMaOgZYVIAOEak39hFgYTQAFAQFNZWlzMgAABgEBAkZTMDBEWFYwVDlSMVg5Rko0UUUAA34AAAAEAAAIRzRJNEdGSlhKQjlBVFozUFRYMQAJTFZEQkpBVzhCSTVZU1MxUVVCRwAKAAsBbm9uZQACbm9uZQADAQQBAAIjMDAwMDAwAAPIAQAFAQECIzAwMDAwMAADyAEAAAABSzlKTjIzUDI0S1FDR0s5VTc1QQACU1kzU0xNTlBJRDNDNjhNR1M4VgADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDUgT0ItSU1OIEdBQkEAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAAKEUL8fg4IJfwOEoBqHhMQ92QQyTlFUSUU3VEFNUDhQUUFITzRQAAWBr6ZKgemsDoGggUeAktXoBgAHAAAFAQFNZWlzMgAABgEBAkZTMDBEWFYwVDlSMVg5Rko0UUUAA34AAAAEAAAINk1UN1VDNkVUWUVDQldGNTBQSwAJTFZEQkpBVzhCSTVZU1MxUVVCRwAKAAsBbm9uZQACbm9uZQADAQQBAAIjMDAwMDAwAAPIAQAFAQECIzAwMDAwMAADyAEAAAACAwA%3D	markers in reference data on Allen Brain Cell Atlas
http://purl.obolibrary.org/obo/PCL_0130866	CTX-CGE GABA	ensembl:ENSMUSG00000032269|ensembl:ENSMUSG00000055435	Htr3a, Maf	Mouse	MBA:997	SO:0001260	0.6401190919240789	0.964260686755431	0.273015873015873	NSforest	NSforest	https://doi.org/10.1101/2020.09.23.308932	06 CTX-CGE GABA	class	https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDYgQ1RYLUNHRSBHQUJBAAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQECgazGjoGWFSADhGpN%2FYRYGE0ABQIBSHRyM2EAAAFNYWYAAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACEc0STRHRkpYSkI5QVRaM1BUWDEACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAUs5Sk4yM1AyNEtRQ0dLOVU3NUEAAlNZM1NMTU5QSUQzQzY4TUdTOFYAAwQBRlMwMERYVjBUOVIxWDlGSjRRRQACATA2IENUWC1DR0UgR0FCQQAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEAAoRQvx%2BDggl%2FA4SgGoeExD3ZBDJOUVRJRTdUQU1QOFBRQUhPNFAABYGvpkqB6awOgaCBR4CS1egGAAcAAAUCAUh0cjNhAAABTWFmAAAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAg2TVQ3VUM2RVRZRUNCV0Y1MFBLAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAIDAA%3D%3D	markers in reference data on Allen Brain Cell Atlas
http://purl.obolibrary.org/obo/PCL_0130867	CTX-MGE GABA	ensembl:ENSMUSG00000024990|ensembl:ENSMUSG00000026890	Rbp4, Lhx6	Mouse	MBA:997	SO:0001260	0.7199157171843297	0.97567424643046	0.3514285714285714	NSforest	NSforest	https://doi.org/10.1101/2020.09.23.308932	07 CTX-MGE GABA	class	https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDcgQ1RYLU1HRSBHQUJBAAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQECgazGjoGWFSADhGpN%2FYRYGE0ABQIBUmJwNAAAAUxoeDYAAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACEc0STRHRkpYSkI5QVRaM1BUWDEACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAUs5Sk4yM1AyNEtRQ0dLOVU3NUEAAlNZM1NMTU5QSUQzQzY4TUdTOFYAAwQBRlMwMERYVjBUOVIxWDlGSjRRRQACATA3IENUWC1NR0UgR0FCQQAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEAAoRQvx%2BDggl%2FA4SgGoeExD3ZBDJOUVRJRTdUQU1QOFBRQUhPNFAABYGvpkqB6awOgaCBR4CS1egGAAcAAAUCAVJicDQAAAFMaHg2AAAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAg2TVQ3VUM2RVRZRUNCV0Y1MFBLAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAIDAA%3D%3D	markers in reference data on Allen Brain Cell Atlas
http://purl.obolibrary.org/obo/PCL_0130868	CNU-MGE GABA	ensembl:ENSMUSG00000096225|ensembl:ENSMUSG00000026890	Lhx8, Lhx6	Mouse	MBA:997	SO:0001260	0.6009280742459397	0.6148036253776435	0.55117043915651	NSforest	NSforest	https://doi.org/10.1101/2020.09.23.308932	08 CNU-MGE GABA	class	https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDggQ05VLU1HRSBHQUJBAAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQECgazGjoGWFSADhGpN%2FYRYGE0ABQIBTGh4OAAAAUxoeDYAAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACEc0STRHRkpYSkI5QVRaM1BUWDEACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAUs5Sk4yM1AyNEtRQ0dLOVU3NUEAAlNZM1NMTU5QSUQzQzY4TUdTOFYAAwQBRlMwMERYVjBUOVIxWDlGSjRRRQACATA4IENOVS1NR0UgR0FCQQAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEAAoRQvx%2BDggl%2FA4SgGoeExD3ZBDJOUVRJRTdUQU1QOFBRQUhPNFAABYGvpkqB6awOgaCBR4CS1egGAAcAAAUCAUxoeDgAAAFMaHg2AAAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAg2TVQ3VUM2RVRZRUNCV0Y1MFBLAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAIDAA%3D%3D	markers in reference data on Allen Brain Cell Atlas
http://purl.obolibrary.org/obo/PCL_0130869	CNU-LGE GABA	ensembl:ENSMUSG00000017491|ensembl:ENSMUSG00000038805	Rarb, Six3	Mouse	MBA:997	SO:0001260	0.7388880403238125	0.9183673469387756	0.4147021003000428	NSforest	NSforest	https://doi.org/10.1101/2020.09.23.308932	09 CNU-LGE GABA	class	https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMDkgQ05VLUxHRSBHQUJBAAABUVk1UzhLTU81SExKVUYwUDAwSwACAAABMTVCSzQ3RENJT0YxU0xMVVc5UAACAAABQ0JHQzBVMzBWVjlKUFI2MFRKVQACAAAEAQECgazGjoGWFSADhGpN%2FYRYGE0ABQIBUmFyYgAAAVNpeDMAAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACEc0STRHRkpYSkI5QVRaM1BUWDEACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAUs5Sk4yM1AyNEtRQ0dLOVU3NUEAAlNZM1NMTU5QSUQzQzY4TUdTOFYAAwQBRlMwMERYVjBUOVIxWDlGSjRRRQACATA5IENOVS1MR0UgR0FCQQAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEAAoRQvx%2BDggl%2FA4SgGoeExD3ZBDJOUVRJRTdUQU1QOFBRQUhPNFAABYGvpkqB6awOgaCBR4CS1egGAAcAAAUCAVJhcmIAAAFTaXgzAAAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAg2TVQ3VUM2RVRZRUNCV0Y1MFBLAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAIDAA%3D%3D	markers in reference data on Allen Brain Cell Atlas
http://purl.obolibrary.org/obo/PCL_0130870	LSX GABA	ensembl:ENSMUSG00000039410|ensembl:ENSMUSG00000078137	Prdm16, Ankrd63	Mouse	MBA:997	SO:0001260	0.7893202468296002	0.966676584349896	0.4552332912988651	NSforest	NSforest	https://doi.org/10.1101/2020.09.23.308932	10 LSX GABA	class	https://knowledge.brain-map.org/abcatlas#AQIBQVA4Sk5ONUxZQUJHVk1HS1kxQgACUTFOQ1dXUEc2RlowRE5JWEpCUQADBAFGUzAwRFhWMFQ5UjFYOUZKNFFFAAIBMTAgTFNYIEdBQkEAAAFRWTVTOEtNTzVITEpVRjBQMDBLAAIAAAExNUJLNDdEQ0lPRjFTTExVVzlQAAIAAAFDQkdDMFUzMFZWOUpQUjYwVEpVAAIAAAQBAQKBrMaOgZYVIAOEak39hFgYTQAFAgFQcmRtMTYAAAFBbmtyZDYzAAAGAQECRlMwMERYVjBUOVIxWDlGSjRRRQADfgAAAAQAAAhHNEk0R0ZKWEpCOUFUWjNQVFgxAAlMVkRCSkFXOEJJNVlTUzFRVUJHAAoACwFub25lAAJub25lAAMBBAEAAiMwMDAwMDAAA8gBAAUBAQIjMDAwMDAwAAPIAQAAAAFLOUpOMjNQMjRLUUNHSzlVNzVBAAJTWTNTTE1OUElEM0M2OE1HUzhWAAMEAUZTMDBEWFYwVDlSMVg5Rko0UUUAAgExMCBMU1ggR0FCQQAAAVFZNVM4S01PNUhMSlVGMFAwMEsAAgAAATE1Qks0N0RDSU9GMVNMTFVXOVAAAgAAAUNCR0MwVTMwVlY5SlBSNjBUSlUAAgAABAEAAoRQvx%2BDggl%2FA4SgGoeExD3ZBDJOUVRJRTdUQU1QOFBRQUhPNFAABYGvpkqB6awOgaCBR4CS1egGAAcAAAUCAVByZG0xNgAAAUFua3JkNjMAAAYBAQJGUzAwRFhWMFQ5UjFYOUZKNFFFAAN%2BAAAABAAACDZNVDdVQzZFVFlFQ0JXRjUwUEsACUxWREJKQVc4Qkk1WVNTMVFVQkcACgALAW5vbmUAAm5vbmUAAwEEAQACIzAwMDAwMAADyAEABQEBAiMwMDAwMDAAA8gBAAAAAgMA	markers in reference data on Allen Brain Cell Atlas
