ID	Label	PrefLabel	Entity Type	TYPE	Property Assertions	Synonyms	Cluster_ID	Function	cell_set_preferred_alias	original_label	cell_set_label	cell_set_aligned_alias	cell_set_additional_aliases	cell_set_alias_assignee	cell_set_alias_citation	Metadata	Exemplar_of	Comment	Aliases	Rank
ID	LABEL	A skos:prefLabel	TI %	TYPE	I 'subcluster of' SPLIT=|	A oboInOwl:hasExactSynonym SPLIT=|	A 'cluster id'	TI capable_of some %	A n2o:cell_set_preferred_alias	A n2o:original_label	A n2o:cell_set_label	A n2o:cell_set_aligned_alias	A n2o:cell_set_additional_aliases SPLIT=|	A n2o:cell_set_alias_assignee SPLIT=|	A n2o:cell_set_alias_citation SPLIT=|	A n2o:node_metadata	TI 'exemplar data of' some %	A rdfs:comment	A oboInOwl:hasRelatedSynonym SPLIT=|	A 'cell_type_rank' SPLIT=|
PCL_INDV:CS202211210_1	MouseBrain 00001 - CS202211210_1	1 Car3 Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5205		CS202211210_1		1 Car3 Glut		MouseBrain 00001			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110001			
PCL_INDV:CS202211210_2	MouseBrain 00002 - CS202211210_2	2 Car3 Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5205		CS202211210_2		2 Car3 Glut		MouseBrain 00002			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110002			
PCL_INDV:CS202211210_3	MouseBrain 00003 - CS202211210_3	3 Car3 Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5205		CS202211210_3		3 Car3 Glut		MouseBrain 00003			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110003			
PCL_INDV:CS202211210_4	MouseBrain 00004 - CS202211210_4	4 Car3 Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5205		CS202211210_4		4 Car3 Glut		MouseBrain 00004			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110004			
PCL_INDV:CS202211210_5	MouseBrain 00005 - CS202211210_5	5 Car3 Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5205		CS202211210_5		5 Car3 Glut		MouseBrain 00005			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110005			
PCL_INDV:CS202211210_6	MouseBrain 00006 - CS202211210_6	6 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_6		6 IT EP-CLA Glut		MouseBrain 00006			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110006			
PCL_INDV:CS202211210_7	MouseBrain 00007 - CS202211210_7	7 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_7		7 IT EP-CLA Glut		MouseBrain 00007			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110007			
PCL_INDV:CS202211210_8	MouseBrain 00008 - CS202211210_8	8 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_8		8 IT EP-CLA Glut		MouseBrain 00008			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110008			
PCL_INDV:CS202211210_9	MouseBrain 00009 - CS202211210_9	9 IT EP-CLA Glut	PCL:0010001	owl:NamedIndividual	PCL_INDV:CS202211210_5206		CS202211210_9		9 IT EP-CLA Glut		MouseBrain 00009			Zizhen Yao			http://purl.obolibrary.org/obo/PCL_0110009			
